Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Ruhmkorff coil,Heinrich Ruhmkorff,male,scientist,German,Europe,"Instrument maker, sometime referred to simply as an 'induction coil'"
physics,Youngs double slit experiment,Thomas Young,male,concept,English,Europe,
physics,Planck's constant,Max Planck,male,concept,German,Europe,
physics,"Describe how Einstein used the conceptof photons and the conservation ofenergy to explain the experimentalobservations of the photoelectric effect.",Albert Einstein,male,scientist,German,Europe,
physics,Planck's constant,Max Planck,male,concept,German,Europe,
physics,Davisson-Germer experiment,Clinton Davisson;Lester Germer,male;male,concept,American;American,North America;North America,
physics,Davisson-Germer experiment,Clinton Davisson;Lester Germer,male;male,concept,American;American,North America;North America,
physics,de Broglie wavelength,Louis de Broglie,male,concept,French,Europe,
physics,Davisson-Germer experiment,Clinton Davisson;Lester Germer,male;male,concept,American;American,North America;North America,
physics,Davisson-Germer experiment,Clinton Davisson;Lester Germer,male;male,concept,American;American,North America;North America,
physics,Fraunhofer lines,Joseph von Fraunhofer,male,concept,German,Europe,
physics,Fraunhofer lines,Joseph von Fraunhofer,male,concept,German,Europe,
physics,Higgs boson,Peter Higgs,male,concept,British,Europe,
chemistry,"Explore how scientists collaborate, e.g. Smalley (USA) and Kroto (UK) collaborated to produce C60 fullerenes.",Richard Smalley;Harold Kroto,male;male,scientist;scientist,American;English,North America;Europe,
chemistry,Fraunhofer lines,Joseph von Fraunhofer,male,concept,German,Europe,
chemistry,"Bunsen and Kirchoff predicted the
existence of two unknown elements from
spectral evidence and discovered
caesium and rubidium.",Robert Bunsen;Gustav Kirchhoff,male;male,scientist;scientist,German;German,Europe;Europe,
chemistry,Avogadro number,Amedeo Avogadro,male,concept,Italian,Europe,
chemistry,Explore the contributions made by scientists to the development of the periodic table proposed by Mendeleev.,Dmitri Mendeleev,male,scientist,Russian,Europe,Continent categorised based on stronger links to Europe over Asia
chemistry,Explore the contribution of Linus Pauling to our understanding of the nature of chemical bonds,Linus Pauling,male,scientist,American,North America,
chemistry,Lewis structure,Gilbert Lewis,male,concept,American,North America,
chemistry,Investigate the contribution of Rosalind Franklin to our understanding of the chemistry of coal using the technique of X-ray crystallography.,Rosalind Franklin,female,scientist,British,Europe,
chemistry,Recognise that dispersion forces are often referred to as London dispersion forces in recognition of the work of Fritz London.,Fritz London,male,scientist,German,Europe,
chemistry,Bunsen-burner flame,Robert Bunsen,male,concept,German,Europe,
chemistry,"Investigate the contribution of the work of chemists such as Wöhler, Perkin, and Kekulé on the rapid development of organic chemistry",Friedrich Wohler;William Perkin;Friedrich Kekule,male;male;male,scientist;scientist;scientist,German;British;German,Europe;Europe;Europe,
chemistry,Note the contribution of Lavoisier in recognising that mass is conserved in chemical reactions.,Antoine Lavoisier,male,concept,French,Europe,
chemistry,Keeling Curve,Charles Keeling,male,concept,American,North America,
chemistry,Consider the contribution of the ideas of Sir Alan Walsh and colleagues to the development of atomic absorption spectroscopy.,Alan Walsh,male,scientist,British-Australian,Europe-Oceania,
chemistry,Le Chateliers principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Le Chateliers principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Investigate the impact on society of the work of Fritz Haber in the development of the synthetic production of ammonia fertiliser.,Fritz Haber,male,scientist,German,Europe,
chemistry,Tollens reagent (ammoniacal silver nitrate solution),Bernhard Tollens,male,concept,German,Europe,
chemistry,Tollens reagent,Bernhard Tollens,male,concept,German,Europe,
chemistry,Tollens test,Bernhard Tollens,male,concept,German,Europe,
chemistry,Haber-Bosch process,Fritz Haber;Carl Bosch,male;male,concept,German;German,Europe;Europe,
chemistry,Hofmann voltameter,August Wilhelm von Hofmann,male,concept,German,Europe,
biology,Golgi body,Camillo Golgi,male,concept,Italian,Europe,
biology,Refer to John Snow and The Cholera Epidemic.,John Snow,male,scientist,English,Europe,
biology,Investigate how the current understanding of life on Earth has been influenced by the ideas of Linnaeus in the 18th century and those of Darwin in the 19th century,Carl Linnaeus;Charles Darwin,male;male,scientist;scientist,Swedish;English,Europe;Europe,
biology,Gilberts potoroo,John Gilbert,male,concept,English,Europe,
biology,"Explore how the work of Watson, Crick, Franklin, and Wilkins exemplifies some of the ways in which a range of evidence from many sources contributed to developing the model of the structure of DNA.",James Watson;Francis Crick;Rosalind Franklin;Maurice Wilkins,male;male;female;male,scientist;scientist;scientist;scientist,American;English;British;New Zealander,North America;Europe;Europe;Oceania,
biology,Rett syndrome,Andreas Rett,male,concept,Austrian,Europe,
biology,Golgi body,Camillo Golgi,male,concept,Italian,Europe,
biology,Golgi body,Camillo Golgi,male,concept,Italian,Europe,
biology,Krebs Cycle,Hans Krebs,male,concept,German,Europe,
biology,Liebigs Law of the Minimum,Justus von Liebig,male,concept,German,Europe,the principle was actually developed in agricultural science by Carl Sprengel but later popularized by Liebig
biology,Alzheimers or Parkinsons disease,Alois Alzheimer;James Parkinson,male;male,concept;concept,German;English,Europe;Europe,
biology,Darwin's finches,Charles Darwin,male,concept,English,Europe,
environment,Coriolis effect,Gaspard-Gustave de Coriolis,male,concept,French,Europe,
environment,"Explore atmospheric (convection) cells such as polar cells, the Ferrel Cell and the Hadley Cell.",William Ferrel;George Hadley,male;male,concept;concept,American;English,North America;Europe,
environment,Miller-Urey experiment,Stanley Miller;Harold Urey,male;male,concept,American;American,North America;North America,
environment,Miller-Urey experiment,Stanley Miller;Harold Urey,male;male,concept,American;American,North America;North America,
environment,Milankovitch cycles,Milutin Milankovic,male,concept,Serbian,Europe,
